V,K,H,t1,t2,p1,p2,x1,y1,x2,y2
2.9736593231692217,11.265868491508453,14.239527814677675,1.5231144602024818,47.59284102438293,-9.964488221600336,1.1308135590350739,1.49729628930636,-0.07144803726769235,1.271320800323549,0.37457335053672614
2.315752986942246,11.923774820628648,14.239527807570894,1.5017326540921714,47.60626079835498,-10.27659314946719,1.171786415859593,1.4954264624877593,-0.10344416509086515,1.2634859946428065,0.3395046122817159
1.6391974763190318,12.600330324424132,14.239527800743163,1.4795903168421927,47.61818679417833,-10.586422951588911,1.2114782734200615,1.4927695778758456,-0.13652833906691345,1.2555631241632605,0.30362288303419493
0.9442787409612627,13.295249053208392,14.239527794169655,1.4566623557342984,47.628473146305986,-10.893536815278752,1.2495392417519318,1.4892471848071427,-0.17071561892223,1.2475258096597461,0.26697237131379603
0.23134753507760353,14.0081802527748,14.239527787852403,1.4329229216033943,47.63696736549798,-11.197469009445935,1.2856052095150616,1.4847752523522006,-0.2060180817366747,1.2393448244445755,0.22960090896171073
-0.49917126235880693,14.738699044221413,14.239527781862606,1.4083457251247535,47.643510934108264,-11.49772871581234,1.3192984992639945,1.4792640070060927,-0.24244380292405626,1.2309883511240114,0.19155988219431042
-1.2467689808601343,15.486296757258817,14.239527776398683,1.3829044069167005,47.647940074990615,-11.793799666428294,1.3502283073796844,1.4726178735543516,-0.27999571155333747,1.2224223957360083,0.15290407232192726
-2.0108434651940987,16.250371237053955,14.239527771859855,1.3565729583303334,47.65008667877559,-12.085139438429275,1.3779907516301224,1.4647355460523916,-0.3186703314251303,1.2136113810717555,0.11369138492216407
-2.7906897712178242,17.030217540150616,14.239527768932792,1.3293261872193451,47.64977936130977,-12.371178222266455,1.4021683100400735,1.4555102164182765,-0.3584564267829811,1.2045189356011219,0.07398244398809589
-3.585491759907946,17.825019528593643,14.239527768685697,1.3011402207653906,47.64684461067449,-12.651316852089218,1.4223284032969494,1.4448299874947712,-0.399333578898469,1.1951088859698062,0.03384002539103309
-4.394315182349616,18.633842955012543,14.239527772662928,1.2719930360372993,47.64110797333826,-12.924923873048744,1.4380208562199384,1.432578495636766,-0.4412707262430862,1.1853464493792538,-0.006671698053510755
-5.216102913688769,19.455630696661174,14.239527782972406,1.241865008852985,47.63239522373369,-13.191331426873269,1.4487739791294796,1.418635765204338,-0.48422470577522503,1.175199607431433,-0.047488129463181594
-6.049673033209353,20.289200835569417,14.239527802360065,1.2107394730807683,47.62053346280014,-13.449829770510618,1.4540890439932523,1.4028793143061657,-0.5281388354323724,1.164640625610128,-0.08854546968580834
-6.893720454773602,21.133248289041674,14.239527834268072,1.1786032859819884,47.60535210015039,-13.699660308136318,1.4534329984253016,1.3851855284430281,-0.5729415779920406,1.1536476630617813,-0.1297822196403347
